Date;Advanced Micro Devices (EUR);Airbus (EUR);Alphabet A (EUR);Amazon (EUR);BASF (EUR);BMW (EUR);BP (EUR);Bayer (EUR);Brenntag (EUR);Cisco (EUR);Commerzbank (EUR);Deutsche Bank (EUR);Deutsche Telekom (EUR);Dow (EUR);E.ON (EUR);Einhell Ger  Vz I (EUR);Equinor (EUR);Evonik Industries (EUR);Exxon Mobil (EUR);Henkel (EUR);Honeywell (EUR);IBM (EUR);ING (EUR);Infineon (EUR);Intel (EUR);Linde (EUR);Mercedes-Benz (EUR);Merck KGaA (EUR);Meta (EUR);Microsoft (EUR);NVIDIA (EUR);Novartis (EUR);Palantir (EUR);Pfizer (EUR);Porsche (Vz) (EUR);Qiagen (EUR);RWE (EUR);Rheinmetall (EUR);SAP (EUR);Shell (EUR);Siemens (EUR);Tesla (EUR);Total Energy (EUR);Volkswagen (EUR);Wacker Chemie (EUR)
21.08.2020 00:00:00;71,29;68,6;66,72;139225;49,40;56,61;3066;56,57;52,10;35,79;4606;7768;14915;37065;9,84;;13455;;34,85;74,25;133,34;99,9496;6603;22,29;41805;;34,4806;111,95;226,25;180,82;10,7763;;;29,4463;;46,8477;32,56;77,38;136,14;12584;104,4792;115,9467;;147,50;83,42
24.08.2020 00:00:00;70,23;71,56;67,02;140125;51,66;58,10;3111;58,29;52,72;35755;4,71;8124;15145;39175;10,10;;13,99;24,55;35,69;75,80;135,00;101,6696;6827;22785;41645;207,40;35,8447;114,15;230,00;181,02;10785;;;29,2684;;46,4872;33,37;79,42;139,00;12,97;107,3458;113,84;;149,80;84,70
25.08.2020 00:00:00;72,81;71,65;67,88;141,40;51,80;57,80;3,0845;58,10;52,20;35505;4,73;8173;15,27;38745;10,12;;13805;24,89;34,60;75,55;139,24;100,7619;6957;22905;41805;210,90;35,5425;114,70;237,40;182,86;10,7688;;;28,8236;;46519;33,37;79,56;139,84;12,75;106,9492;114,0133;;150,50;83,52
26.08.2020 00:00:00;72,7;70,49;69,67;145,75;52,28;59,28;3,04;58,00;53,02;35,77;4868;8284;15145;38485;10045;;13625;24,79;33,88;76,20;139,68;100,3796;7008;23,83;41,92;212,00;35,9916;115,40;257,05;186,92;10,8113;;;28,6457;;46,7947;33,49;79,04;142,42;12752;108,2653;121,16;;153,40;83,70
27.08.2020 00:00:00;70,99;71,51;69,03;143,80;51,67;59,46;3,01;56,75;52,34;35,77;4859;8232;15135;39045;10025;;13,59;24,79;33,65;76,50;141,12;100,8096;6948;23345;41855;214,90;36021;113,90;248,45;191,90;10,6988;;;28,5567;;44,9708;33,10;79,78;140,44;12608;107,2737;126,2133;;152,80;82,64
28.08.2020 00:00:00;71,72;71,45;68,9;142875;51,48;59,79;3003;55,30;51,82;35445;4961;8306;15,03;38,60;9994;;13,74;24,95;34285;76,25;141,20;100523;7056;23385;42,43;212,70;35,9916;113,80;246,70;192,24;11,0625;;;28,4678;;45,1087;33,13;79,52;139,88;12738;106859;124,00;;152,10;82,54
31.08.2020 00:00:00;76,08;69,5;68,27;144,75;51,05;60,71;2,9595;56,20;52,50;35,28;4918;7967;14,85;37,83;9,92;;13425;24,55;33615;75,60;138,60;98803;6881;23275;42775;213,30;35765;113,95;245,55;189,40;11,25;;;28,2898;;45,6601;33,31;78,56;138,70;12568;104,8397;139,50;;150,10;81,86
01.09.2020 00:00:00;77,41;69,12;69,2;146875;50,77;60,25;2,9335;55,69;52,88;35305;4,85;8,00;14,72;39,52;9882;;13,48;24,55;33,04;76,15;141,20;99,0419;6,76;23475;42,59;209,60;35,8657;114,30;248,20;190,84;11,6125;;;27,4892;;45,2041;33,05;76,36;139,32;12286;104,8397;133,05;;149,00;81,80
02.09.2020 00:00:00;76,3;72,64;72,59;149025;51,90;60,88;2924;56,36;53,60;35,95;4777;7,99;15,46;41,17;10,04;;13365;23,65;33,12;76,95;143,50;103,6763;6859;24,25;44205;215,30;36,5163;118,60;255,40;195,70;12125;;;28,0229;;44,9814;33,80;78,60;142,30;12,31;107,5441;126,00;;151,00;84,10
03.09.2020 00:00:00;69,39;71,4;68,78;142,10;51,75;60,02;2923;55,30;51,92;34,61;4701;7848;15205;40715;10,17;;13075;24,02;32,85;75,60;139,88;99,7108;6844;22895;42,50;219,90;35,9874;115,85;246,10;183,50;10,9713;;;27,3112;;42023;32,73;77,06;137,50;12,23;105,02;114,6333;;149,20;81,10
04.09.2020 00:00:00;69,62;71,3;66,79;139,15;52,80;62,08;2,9105;54,88;52,98;34525;5188;8,23;15,20;41,26;9918;;13,01;23,07;32945;74,05;141,36;98,8986;7046;23165;42,35;210,80;36,8437;116,45;238,80;181,18;10,6713;;;27,3112;;42,5426;31,70;79,10;134,60;12,29;105,4708;118,25;;153,00;81,70
07.09.2020 00:00:00;69,79;73,05;66,5;138,55;53,19;62,64;2,9995;55,73;53,80;34,57;5088;8,16;15215;41,30;9,95;;13,17;23,51;33355;75,30;141,70;100,2363;7032;23,43;43,20;209,40;38,0231;118,65;238,50;180,52;10625;;;28,0229;;43,6878;32,04;79,24;137,62;12444;105,8133;110,8667;;156,40;82,30
08.09.2020 00:00:00;66,96;71,38;64,67;133,70;53,87;62,63;2879;54,90;52,54;33,99;4,89;8,00;14,98;40,89;9842;;12565;23,70;32,48;74,25;140,14;98,5641;6948;22,90;41,50;212,90;38,1112;118,00;229,85;172,22;10,1413;;;27,2223;;43,4757;31,64;78,24;131,88;11946;104,0104;93,7833;;157,70;80,50
09.09.2020 00:00:00;69,53;69,84;65,45;138625;54,68;63,49;2,8975;56,00;54,46;34065;4944;7965;15,39;41,87;10065;;13215;23,40;32165;77,05;141,56;99,3763;7,08;23975;42065;206,80;38,8919;120,55;232,00;178,96;10745;;;27,3112;;44,5997;32,10;78,96;137,90;12182;106,9131;103,6333;;162,40;80,34
10.09.2020 00:00:00;66,98;69,39;64,51;134,50;54,11;62,93;2,8695;55,25;54,06;33,60;4,92;7923;15,26;41,80;10005;;13,11;24,23;31,29;78,70;139,20;97,6563;7122;23,60;41,49;213,00;38,7828;119,50;227,10;174,00;10,3975;;;26,8664;;44,43;31,95;78,86;134,60;11906;105,4708;104,8833;;160,50;78,68
11.09.2020 00:00:00;64,33;69,13;64,05;131625;54,55;64,29;2,8595;55,67;54,62;33695;4,90;7,85;15305;42265;9,90;;13,22;23,84;31,13;78,35;139,78;97,8952;7038;23,76;41645;209,70;38,9465;122,25;225,50;172,50;10,2963;;;27,1333;;44,6527;31,95;77,70;135,00;11934;105,8313;105,0167;;159,90;82,06
14.09.2020 00:00:00;65,8;71,03;63,54;130725;55,26;63,90;2,8075;55,60;54,80;34165;4765;7,89;15245;42,18;9862;;13,02;23,83;30,98;77,55;142,02;98373;7149;24645;41,69;211,50;38,5729;123,80;224,25;173,24;10,8575;;;27934;;44939;31,63;79,98;135,88;11,74;105,4708;118,00;;158,00;82,22
15.09.2020 00:00:00;66,83;69,1;64,7;133,25;54,96;64,31;2,7925;57,11;54,60;34215;4,70;7,69;15,25;43,19;9844;;13,37;23,71;30,61;78,30;142,34;98803;7036;24455;42,23;211,50;38,5016;122,25;230,00;176,30;10,9888;;;27,6671;;44,8118;31,41;81,40;135,78;11,83;105,1643;126,80;;156,50;83,26
16.09.2020 00:00:00;65;70;64,11;130,40;54,91;64,36;2,84;56,39;57,06;34,30;4,74;7887;15,11;42965;9,84;;13485;23,73;32,12;78,30;143,92;100,5708;7016;24315;42755;212,20;38,5813;123,65;223,50;173,74;10625;;;27,7561;;45,1299;31,47;81,44;134,94;11928;106,4804;125,00;;156,70;81,18
17.09.2020 00:00:00;64,37;70,54;62,76;127,00;55,00;64,54;2,7995;56,65;57,32;33945;4647;7,78;15,20;42965;9822;;13385;23,58;31615;77,90;142,56;100,5708;6,85;24,25;42,42;211,10;38,7954;124,75;214,85;170,86;10,5213;;;27,6671;;44,6845;31,17;81,70;135,42;11704;107,0032;119,05;;156,30;81,60
18.09.2020 00:00:00;63,3;69,1;61,21;124,80;54,06;63,43;2695;57,29;56,46;33,65;4,52;7,70;15,08;42,67;9716;;13,26;23,42;31315;77,15;142,58;98,9941;6649;23,90;42,08;211,50;38,2917;127,00;213,35;169,14;10275;;;27,4892;;45,1405;30,91;80,64;135,66;11,42;106,5525;124,6667;;151,30;81,22
21.09.2020 00:00:00;66,32;65;60,76;125875;50,85;60,64;2,6315;54,60;54,64;33,02;4,25;7,10;14,66;40,65;9374;;12845;23,15;30,90;75,05;136,00;97,1786;6093;23215;42,20;208,40;36,6506;125,20;210,20;171,92;10,6113;;;27,1333;;44,9814;30,30;76,48;133,04;11166;101,8649;127,1167;;145,20;76,38
22.09.2020 00:00:00;66,54;63,1;62,3;133,60;50,85;61,00;2,6665;54,54;54,56;33605;4254;6978;14,62;40,66;9358;;12815;22,72;30,32;76,05;139,08;98,4686;6004;23,60;42725;201,60;36936;123,85;217,95;177,20;10,7988;;;27,5781;;45,5116;30,65;75,82;134,36;11372;102,5861;120,5667;;145,90;75,94
23.09.2020 00:00:00;63,94;61,62;60,37;128575;50,05;60,24;2,5955;54,80;54,00;32,79;4,10;6897;14385;40,35;9366;;12445;22,80;29475;77,25;136,80;97,2741;5878;23175;41845;203,00;36,8982;124,50;213,65;172,18;10375;;;27,4002;;46,0736;31,03;74,94;131,02;11282;100,7471;108,8167;;144,60;79,22
24.09.2020 00:00:00;64,8;60,27;60,94;129425;50,34;60,49;2,5705;54,70;54,38;32,36;4,13;6949;14405;39955;9354;;12,65;22,32;29,40;77,15;136,16;96,7486;5969;23,36;42,02;200,00;37,2718;123,40;213,95;174,36;10,55;;;27,1333;;46,4448;31,37;73,60;131,62;11402;102,9467;110,60;;148,30;79,44
25.09.2020 00:00:00;66,97;61,1;61,95;133,30;50,01;59,85;2,5805;54,30;54,38;33145;4,05;6,86;14355;39795;9364;;12345;22,72;29815;76,20;138,52;97,8475;5998;23005;42,99;201,00;37,3977;124,60;219,20;178,80;11,0613;;;27,5781;;47,2507;31,59;74,18;130,94;11184;102,0452;116,6167;;145,90;78,86
28.09.2020 00:00:00;67,94;62,5;62,4;135975;51,69;61,49;2,6345;54,39;55,38;33525;4229;7258;14405;40,78;9428;;12435;22,37;30275;77,95;141,38;99,5674;6147;23,98;43985;200,60;38,3673;124,65;220,00;179,32;11,1725;;;27,7561;;46,9538;31,29;76,84;134,62;11272;109,10;120,1333;;150,30;82,22
29.09.2020 00:00:00;69,7;62,5;62,49;134,05;51,95;61,64;2,54;53,42;54,76;33,30;4,12;7,06;14,37;39,46;9448;;11,95;22,45;29285;79,45;140,38;98,7552;6,05;24065;43625;203,40;38,1742;125,70;223,35;176,54;11,2863;;;27,4892;;47,3673;31,95;77,16;133,64;11036;108,72;119,0667;;149,80;82,78
30.09.2020 00:00:00;70,12;62,5;62,71;134,40;52,08;61,98;2,5035;51,10;54,12;33705;4,21;7154;14365;40465;9,50;;12125;22,33;29,32;80,20;139,90;98803;6149;24,08;44235;201,40;38,5562;124,90;223,25;180,00;11,6038;;8074;27934;;47,2931;32,10;76,24;133,00;10866;108,00;122,00;;149,50;82,38
01.10.2020 00:00:00;72,39;64,6;63,35;137,15;51,10;62,28;2,45;46995;54,66;32,96;4,25;7099;14485;39415;9548;;11805;22,33;28,05;80,40;140,00;98,0386;6,06;25,90;44495;203,00;39,0346;126,05;227,25;180,88;11,6075;;8096;27,4892;;47,2295;32,68;77,54;133,90;10,43;106,82;127,1833;;145,50;84,38
02.10.2020 00:00:00;70,18;64,3;62,27;133475;51,82;62,28;2,42;45,30;54,44;32785;4324;7271;14595;40,20;9686;;11915;22,29;28,36;80,50;141,90;98,4208;6182;25,40;43,58;198,95;39,2067;127,90;222,10;176,00;11,1538;;7,83;27,6671;;47,3991;33,44;77,26;132,00;10568;106,52;118,2333;;143,70;85,24
05.10.2020 00:00:00;72,93;65,7;63;135,75;53,43;64,20;2434;47095;55,48;32655;4,39;7367;14,78;41,22;9,77;;12,26;22,59;28,54;81,20;142,78;98,8986;6337;25,70;43775;199,30;40,2602;128,95;224,80;178,42;11,5525;;7705;27845;;47,7596;33,27;78,70;132,80;10,86;107,44;120,2667;;147,40;89,72
06.10.2020 00:00:00;72,14;66,1;61,89;132,20;52,94;64,01;2435;46,10;54,88;32695;4,58;7663;14,67;40,97;9,72;;12315;23,09;28,45;81,35;142,16;99,1852;6484;25,61;43,74;199,95;39,7356;127,45;220,10;175,46;11,6763;;8443;27,4892;;48,6928;32,79;78,02;131,26;10902;108,00;117,3833;;146,20;88,76
07.10.2020 00:00:00;73,9;66,86;62,02;135,90;55,40;65,45;2,4285;45,80;55,38;33445;4648;7854;14,53;41145;9,77;;12215;22,85;28535;81,15;145,66;100,8574;6645;26345;44,82;198,10;41,1333;129,80;219,35;178,40;11,89;;8578;27,6671;;48,9897;33,16;77,24;131,88;10852;109,08;120,3833;;148,90;93,86
08.10.2020 00:00:00;73,67;67,12;63,08;135725;56,75;65,46;2503;46445;55,46;33,94;4,79;7956;14525;41,46;9778;;12,35;23,27;30,01;82,75;147,64;106,8295;6719;26,95;45,37;203,10;41,0493;129,85;224,20;179,02;11755;;8512;27845;;48,6292;33,81;76,56;132,44;11,26;110,96;120,80;;147,60;94,02
09.10.2020 00:00:00;70,34;66,5;63,87;138975;54,87;64,57;2,4735;46,85;55,50;33,74;4695;7851;14,41;41,86;9712;;12,61;23,45;29365;82,70;146,78;103,1985;6672;27,60;44,66;202,40;40,4365;130,70;223,40;182,44;11645;;8433;27,5781;;49,0533;33,58;78,22;132,70;11338;111,02;122,30;;147,10;92,06
12.10.2020 00:00:00;71,45;65,91;66,25;145,75;54,66;64,88;2,42;46335;56,18;34225;4701;7877;14,50;41,17;9796;;12405;23,33;29,39;82,55;148,96;102,9118;6627;28035;45665;203,00;41,1501;130,50;233,45;187,38;12,0325;;8364;27845;;48,9049;33,79;77,96;134,76;11114;112,60;124,6833;;149,60;93,02
13.10.2020 00:00:00;72,77;63,4;66,8;146725;54,64;63,90;2,40;44,95;55,48;33905;4521;7757;14525;40,85;9,67;;12255;23,14;29,19;81,20;146,82;101813;6273;27,48;45,88;203,20;40,8185;130,95;235,40;189,94;12165;;8019;27934;;47,5158;33,86;75,80;133,70;11036;110,86;126,6833;;147,50;92,80
14.10.2020 00:00:00;72,02;61,62;66,69;143,10;54,02;63,47;2383;44285;56,32;34075;4,52;7722;14465;41,50;9686;;12445;23,58;29,09;81,70;148,56;102,6252;6268;27,83;45615;201,50;40,2057;127,80;231,20;188,04;11,99;;7949;27845;;47,3991;34,16;74,02;133,90;11066;111,72;130,8167;;147,30;94,50
15.10.2020 00:00:00;71,1;61,81;66,62;142575;52,61;61,85;2,3605;44,30;55,60;34085;4,40;7683;14,04;41415;9512;;12245;23,54;29,19;81,05;146,34;101813;6,15;27,33;45,95;199,50;39,3788;123,90;227,85;187,72;11915;;8432;27845;;47,5688;33,60;73,26;131,48;10832;109,32;127,90;;144,00;93,74
16.10.2020 00:00:00;70,87;63,62;67,13;139,50;53,50;63,09;2,3335;44635;55,74;34,33;4329;7871;14055;42145;9728;;12,16;22,94;29,20;81,20;149,76;102,8163;6308;27,61;46,27;196,15;41,2172;124,90;226,95;187,32;11815;;8,27;28,8236;;47,3037;33,93;73,60;132,10;10,86;110,36;125,1167;;146,60;93,26
19.10.2020 00:00:00;69,82;64,7;65;136,35;52,57;63,28;2,2995;44025;54,52;33,33;4383;7884;13,95;41,52;9,65;;12,10;23,06;28415;80,90;145,30;101,9085;6,23;27355;46385;198,45;40,4197;122,95;222,30;182,02;11,4563;;8179;28,5567;;47,1658;33,64;73,02;129,92;10,72;109,46;122,0667;;146,40;89,28
20.10.2020 00:00:00;68,95;66,94;65,54;136,05;52,75;63,88;2,2845;43,72;54,76;33255;4574;8135;13745;41895;9596;;12,14;22,65;28515;82,95;146,84;94,9235;6461;27,17;45,26;195,25;40,7597;124,70;226,40;181,72;11,5763;;7889;28,2898;;46,7311;33,33;73,94;127,24;10778;110,52;119,05;;148,40;89,74
21.10.2020 00:00:00;66,86;63,91;66,91;134,30;51,90;63,67;2,26;42725;55,00;32,99;4489;7938;13495;41595;9472;;11,92;22,38;28,00;81,75;146,12;92,6684;6,39;26885;45,15;197,50;40,0462;124,00;235,80;181,18;11,4213;;7751;27845;;45,3844;32,92;73,12;125,34;10558;108,86;118,8167;;145,30;85,80
22.10.2020 00:00:00;67,26;65,15;68;134125;51,68;63,75;2,2995;42,39;54,88;32845;4446;7999;13,51;39845;9468;;12,01;22,10;29,50;82,30;148,10;93,7768;6427;26,64;45585;194,95;40,5457;128,40;235,35;181,48;11,2988;;8141;28,1119;;45,2677;32,73;72,54;124,94;10,78;108,90;120,20;;147,20;89,34
23.10.2020 00:00:00;69,1;67,9;68,85;135,10;52,14;63,66;2,27;42345;55,34;32,65;4537;8134;13,48;41225;9524;;11,90;21,82;28,82;83,15;147,66;93,3373;6533;26,91;40635;197,00;40,5457;131,70;240,45;182,16;11,4588;;8,00;28,6457;;44,4619;33,05;72,70;126,26;10864;110,00;118,0333;;147,10;89,28
26.10.2020 00:00:00;70,32;65,31;67,02;135,95;51,00;63,32;2,2505;43,20;54,98;31,95;4479;8,10;13,28;40185;9,48;;11495;22,34;28,46;81,00;144,50;90,9867;6449;26265;39,59;197,50;40,0462;130,35;234,35;178,60;11,1563;;8437;28,7346;;43,9211;32,92;70,28;97,80;10548;107,12;117,95;;143,50;86,00
27.10.2020 00:00:00;67,75;63,11;67,7;139075;49955;60,67;2,21;41,77;57,04;31125;4165;7802;13015;39,44;9262;;11435;21,85;27,82;81,05;141,64;89,2094;6122;25,35;38575;192,30;38,7912;133,60;239,85;180,72;11,3638;;9192;28,3788;;45,0663;33,37;65,62;97,41;10,25;105,12;119,4333;;138,40;84,72
28.10.2020 00:00:00;65,48;61,4;64,82;135,20;47,10;57,47;2,1345;40,66;55,24;30,52;4015;7841;12,81;38,50;8984;;10,96;21,91;26975;78,40;136,82;87,1072;5,80;23505;37,71;190,85;36,7765;134,75;234,25;173,14;10,8263;;9087;26,7775;;43,6348;31,88;62,50;92,50;9,89;99,30;115,5167;;133,50;80,50
29.10.2020 00:00:00;66,96;62,4;71,97;135,50;46,95;58,23;2198;41,24;55,84;30,33;4,05;7,90;13,13;39045;8842;;10985;20,90;28,24;78,40;141,44;88,7889;5831;24005;37,58;184,45;37,0493;132,80;242,40;173,90;11,0738;;9084;26,9554;;43,1152;31,58;62,50;93,94;10598;100,44;116,7667;;136,50;85,70
30.10.2020 00:00:00;64,74;63,51;69,59;130725;47,47;59,09;2,2345;40945;54,96;30995;4,08;7977;13,18;38,70;8972;;11125;20,81;28,10;77,75;141,18;91,6555;5932;24095;38,12;188,70;37,5656;128,30;227,00;173,92;10795;;8803;27,3112;;43,2424;32,11;63,64;92,00;11,09;101,22;111,8667;;134,60;82,92
02.11.2020 00:00:00;63,97;63,55;69,74;129,00;48345;59,99;2,3385;42,00;55,92;30865;4217;8276;13,43;40,94;8934;;11615;20,90;29115;79,10;149,30;92,7066;6162;24,45;38,10;188,70;38,3631;129,80;224,25;173,32;10,7925;;9033;27,6671;;44,4088;32,48;63,60;91,08;11,50;103,14;114,90;;138,60;84,36
03.11.2020 00:00:00;65,8;66,86;70,17;130,30;50,27;62,53;2322;42135;57,50;31,39;4,37;8536;13,61;41,61;9,06;;11,24;21,02;28,61;80,75;153,86;93,2035;6511;25665;38,38;196,20;40,2518;133,70;226,65;176,26;11145;;8981;27,5781;;44,7482;33,00;67,38;93,99;11468;106,74;120,8167;;144,00;84,02
04.11.2020 00:00:00;69,53;67,8;74,51;138375;49965;62,40;2322;43,50;58,04;31,20;4253;8,52;13715;39,94;9298;;11395;21,99;28,38;81,50;154,26;91,2733;6319;25,80;39,00;200,50;39,9832;135,45;245,60;184,40;11,7725;;9132;28,3788;;46,1161;33,77;68,68;96,40;11,50;107,14;119,6833;;141,00;82,50
05.11.2020 00:00:00;70,38;70;74,5;140,40;50,39;64,53;2,2695;43945;60,18;31,45;4,05;8492;13,90;39605;9,40;;11,40;21,73;28,08;82,10;155,98;92,7258;6114;26,53;38575;200,80;41,3012;135,70;249,60;188,80;11,9763;;10036;27,4892;;46,0736;34,07;69,38;98,62;11,39;109,42;123,5333;;145,60;86,12
06.11.2020 00:00:00;72,39;69,94;74,19;139,40;50,40;63,47;2232;42775;60,26;31575;3982;8572;14225;40,58;9248;;11,21;21,92;27,61;81,40;155,64;91,8275;6,13;26,69;38,26;211,50;40,5457;136,65;246,70;188,20;12,2513;;11618;27,4002;;46,0206;33,53;67,78;97,50;11304;108,84;120,6667;;144,00;87,46
09.11.2020 00:00:00;70,7;81,31;74,79;133075;54,80;67,10;2,55;45,62;58,88;32,45;4,64;8951;14,68;44,92;9302;;12,18;21,78;31255;84,35;168,48;93,7577;7017;26,70;38,59;212,20;42,2162;132,75;236,00;185,04;11,5425;;12,41;29,5353;;42,6698;33,23;71,86;97,80;12,80;114,80;119,3167;;149,20;86,36
10.11.2020 00:00:00;66,16;87,61;73,85;128575;57,39;69,09;2,6905;47815;58,10;32,80;4,92;9,08;14795;44875;9382;;12,65;22,90;31185;84,65;170,72;95,5159;7381;25875;38,50;218,10;44,1721;128,80;231,10;178,60;10,8188;;11886;29,1794;;41,3973;32,67;79,50;99,47;13,45;118,28;115,90;;157,10;85,96
11.11.2020 00:00:00;69,12;86,2;74,08;133,15;56,10;70,39;2,6995;47,95;58,66;33445;4,74;8887;14,98;44165;9534;;12,75;23,56;30855;82,35;169,36;95,0191;7196;26935;39,35;221,10;44298;132,15;234,75;183,80;11375;;13552;29,0905;;42,0548;34,27;76,86;101,54;13348;117,02;117,8833;;157,40;86,72
12.11.2020 00:00:00;69,34;82,5;73,62;131675;55,09;69,86;2,64;47055;59,18;32815;4699;8798;14,95;43085;9,25;;12,17;23,27;29,65;81,45;166,86;92,4773;7256;26055;38,11;220,60;43,1899;131,45;232,90;182,24;11,3863;;12434;28,3788;;42,2138;34,31;74,54;100,06;12966;113,44;116,3333;;156,10;85,94
13.11.2020 00:00:00;68,94;85,46;74,91;132225;56,23;70,86;2,6625;47995;60,40;34,98;4,95;9063;14,96;43,92;9342;;12,30;22,61;30,56;80,55;170,48;94,5222;7437;26,44;38,41;215,90;44,0798;132,05;234,30;183,20;11,2325;;13,33;29,0905;;42,9455;35,14;73,88;102,00;13,16;113,34;115,10;;158,20;88,08
16.11.2020 00:00:00;70,44;90,42;74,79;132,10;57,30;72,73;2,80;48165;62,48;35,85;5,01;9,12;14,89;45365;9,38;;12775;23,00;32,16;80,15;175,90;95,3057;7569;26,75;38895;217,30;45,0871;132,20;235,35;183,00;11,4113;;13386;28,0229;;41,4398;34,40;76,50;100,88;13,96;112,54;114,55;;162,50;89,08
17.11.2020 00:00:00;70,33;89,94;74,2;132,20;57,98;72,95;2,8195;47,79;62,78;35,28;5,08;9117;14945;45735;9144;;12,93;23,62;32,62;79,55;172,66;94,6177;7668;26685;38,36;215,00;45,6495;131,50;231,95;180,88;11,3175;;15,10;30,50;;41,4822;34,08;75,94;99,10;14,20;111,60;124,1667;;161,60;89,38
18.11.2020 00:00:00;69,6;89,07;73,34;131,00;58,01;73,38;2,83;47,38;63,92;34805;5,12;9059;14,86;46745;9,14;;12,90;23,87;31,45;78,90;169,48;94312;7691;26655;38,02;213,20;46,5562;128,15;230,00;178,04;11,3363;;15,10;30,70;;41,7473;33,69;74,48;99,83;13972;110,60;136,9167;;161,10;91,96
19.11.2020 00:00:00;71,95;89,6;74,06;131,20;57,94;74,10;2741;46,70;63,24;34,65;4,97;9006;14855;46005;9096;;12,79;23,84;31565;78,45;171,28;94,2737;7729;27,13;38,35;211,80;46,17;129,00;229,90;178,88;11,3163;;16,00;30,50;;42,2881;34,20;76,12;99,88;13964;110,18;140,1333;;162,30;93,10
20.11.2020 00:00:00;71,3;88,2;73,24;130,70;57,85;74,14;2761;47,95;63,66;34,59;4,98;9019;14,90;45875;9,14;;12795;23,68;31185;78,40;169,72;94,1208;7766;27,22;38,31;213,30;46,4302;130,35;227,75;177,50;11,0463;;15,30;31,00;;42,3729;35,10;76,86;98,90;14194;110,08;137,5333;;162,00;94,08
23.11.2020 00:00:00;71,9;90,7;73,14;130,70;58,59;74,27;2898;47,85;63,40;35,20;5248;9348;14,80;47,40;9058;;13195;23,87;33185;78,25;172,50;96,9397;7897;27,81;38855;213,80;47,1522;129,90;226,70;177,22;11105;;17,80;30,90;;41,97;34,83;77,88;99,20;14866;111,80;146,8167;;162,10;99,88
24.11.2020 00:00:00;71,68;94,39;74,13;131075;61,20;76,70;3129;48,90;63,94;35895;5494;9,62;14865;48,41;9,05;;13,90;24,48;35285;78,40;174,78;99,8063;8553;28,15;39,46;213,10;48,6884;131,15;233,30;179,88;10,88;;20,20;30,80;;41,7049;34,20;79,88;98,20;15648;113,08;155,7833;;167,20;103,95
25.11.2020 00:00:00;72,75;92;74;133,50;60,20;75,07;3012;49,37;63,72;35635;5302;9544;15105;47,50;9,17;;13,72;25,05;34285;79,75;173,62;99,5674;8331;28405;39485;215,70;48,1008;129,50;231,25;179,38;11,1038;;24,40;30,60;;42076;34,57;79,08;99,06;15,32;112,70;160,3333;;164,90;101,80
26.11.2020 00:00:00;73,17;90,7;74,29;135,50;60,00;73,50;2,9845;49,25;63,20;35,53;5298;9392;15075;47,37;9208;;13,50;25,16;34,30;79,80;175,38;99,6152;8,31;28385;39,63;212,60;47,0011;131,95;232,55;180,00;11,1525;;26,20;30,70;;43,0622;34,50;77,28;99,95;15038;111,84;159,1667;;162,10;98,80
27.11.2020 00:00:00;73,49;90,6;74,79;133,70;60,95;72,94;2,9645;49,56;64,08;35,79;5,38;9472;15,20;46,14;9186;;13,95;25,20;33,76;79,90;175,48;99,4241;8398;29,45;39,89;216,60;47,4124;133,45;232,40;180,56;11,0725;;24,00;31,20;;42,8501;34,68;77,16;100,16;15092;112,76;163,55;;161,90;102,45
30.11.2020 00:00:00;77,5;87,66;73,31;132725;61,30;72,90;2814;48,50;64,26;36,00;5,22;9,30;15145;44,70;9,09;;12945;25,49;31835;80,30;171,92;98803;8092;29,65;40,43;216,10;47,4292;133,90;232,40;179,20;11,2375;;22,60;32,10;;42,9031;34,79;74,82;101,80;14,23;111,84;158,55;;156,00;105,20
01.12.2020 00:00:00;76,85;90;74,31;133,35;61,28;74,50;2,8235;48695;63,30;35,99;5,40;9484;15,21;44,22;9034;;13,10;25,40;31,89;79,75;171,48;97,3697;8338;29,35;41055;214,90;48,2686;134,95;237,65;179,16;11,1038;;21,40;32,70;;42,5214;34,50;77,88;101,88;14,58;112,96;161,60;;161,50;106,70
02.12.2020 00:00:00;77,59;91,52;75,39;132,45;60,72;74,30;2937;47,92;62,44;36235;5,51;9557;15125;43,84;9,12;;13385;25,69;33,00;79,30;171,96;98373;8369;28915;41,20;214,90;48,1343;135,45;237,20;177,86;11,1975;;18,40;33,80;;41,8851;35,03;77,30;101,80;15104;112,94;156,50;;160,80;106,00
03.12.2020 00:00:00;76,1;94,44;74,98;131025;60,20;74,04;2931;47,99;61,76;36335;5,50;9,68;15015;44075;9012;;13,42;25,65;33075;78,20;171,04;97,1308;8369;28,60;41975;207,80;47,5803;137,10;231,65;176,30;11,0225;;19,90;33,00;;41,8427;34,83;77,48;100,98;15,05;111,86;162,7333;;160,40;102,95
04.12.2020 00:00:00;77,74;96,1;75,25;130,40;60,95;74,80;3069;47835;62,42;36545;5,50;9722;15175;45395;9,03;;13,87;25,34;34,30;78,85;175,14;100,2363;8356;29,52;42885;203,30;48,5205;136,25;230,65;176,76;11,1063;;19,70;33,20;;41,8003;34,21;78,00;102,44;15728;112,90;164,5667;;160,40;106,70
